1,window2,4,0.75,Two Pair,660
2,demo1,3,0.666667,Two Pair,510
3,test1,290,0.434483,One Pair,1290
4,test2,288,0.430556,One Pair,1570
5,test3,92,0.336957,High Card,280
6,window3,3,0.333333,High Card,220
7,demo2,3,0.333333,One Pair,180
8,haolam,65,0.292308,One Pair,100
9,anhtri,74,0.243243,High Card,210
10,demo3,3,0,High Card,120
11,window1,4,0,One Pair,100
